name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,70827.0,1416734289508,1,50180380433.0,3.90447,-4.391000885229906,4.240719848879971,2026-03-24
Ethereum,ETH,2153.89,259954784712,2,24269012296.0,5.30857,-6.610013771272863,9.029223740714725,2026-03-24
Tether,USDT,0.99973,184131745013,3,87881104813.0,0.00434,-0.022102706690623218,-0.001949475976299031,2026-03-24
XRP,XRP,1.42,87229644833,4,3419364206.0,3.86244,-6.178322695978155,-0.07198297921136453,2026-03-24
BNB,BNB,634.44,86516906236,5,1684060605.0,1.70216,-5.973525876822409,2.5205419921196324,2026-03-24
USDC,USDC,0.999906,78651938641,6,7706579261.0,-0.00904,0.0008605505189612689,0.0006315179175378508,2026-03-24
Solana,SOL,91.16,52154108026,7,5286206795.0,6.4162,-2.8306039180841056,6.928728359077313,2026-03-24
TRON,TRX,0.310287,29401689013,8,611437681.0,1.23952,4.409384317548202,7.783197591117473,2026-03-24
Figure Heloc,FIGR_HELOC,1.029,16307825819,9,18948526.0,1.04341,0.26051260152392935,-1.6049613911258576,2026-03-24
Dogecoin,DOGE,0.094691,14537674045,10,1628665554.0,4.85144,-5.371397426001753,-2.393056780972358,2026-03-24
WhiteBIT Coin,WBT,54.92,11721129895,11,129689272.0,2.90628,-5.20555146839748,8.44555258704894,2026-03-24
USDS,USDS,0.999965,11612410665,12,10817226.0,0.00607,0.006144856931383011,0.0031690110010895757,2026-03-24
Cardano,ADA,0.26325,9699311656,13,622542593.0,5.58379,-7.113507304354279,-4.460349605568887,2026-03-24
Bitcoin Cash,BCH,475.96,9529390585,14,249982698.0,2.29667,0.4073971201849988,-17.125024411894707,2026-03-24
Hyperliquid,HYPE,38.46,9170234328,15,455235506.0,2.5135,-5.3215422362452385,30.118089015556958,2026-03-24
LEO Token,LEO,9.42,8679062494,16,605332.0,1.20326,4.3504947104584,15.601707104338402,2026-03-24
Chainlink,LINK,9.18,6502095183,17,613930695.0,6.36826,-5.823208672883766,4.039456699880942,2026-03-24
Monero,XMR,349.13,6440928092,18,127852386.0,-1.86194,-6.433753111457084,8.628867987426249,2026-03-24
Ethena USDe,USDE,0.999095,5915451964,19,83955510.0,-0.03569,-0.07903975476789137,-0.0018237745479056983,2026-03-24
Canton,CC,0.145646,5549617420,20,9348642.0,-0.21986,-5.429243706063758,-9.72115914214094,2026-03-24
Stellar,XLM,0.165883,5477403652,21,130001583.0,5.89521,-4.63926144352846,6.764398510824619,2026-03-24
USD1,USD1,0.999242,4443738334,22,1490583181.0,-0.00838,0.017467327376970668,0.04342481584323586,2026-03-24
Dai,DAI,0.999521,4311112754,23,168798094.0,-0.04601,-0.0390942999932284,-0.03499951947334767,2026-03-24
Litecoin,LTC,55.75,4293082094,24,423583159.0,4.26169,-3.4276959187924914,2.5877969624365194,2026-03-24
Avalanche,AVAX,9.55,4125700425,25,408344574.0,6.05246,-7.096699703863811,6.16625693249566,2026-03-24
Rain,RAIN,0.00848912,4062572387,27,30231457.0,-0.14363,-2.9496170353602844,-9.39181261035052,2026-03-24
Hedera,HBAR,0.093735,4059036255,26,136200712.0,5.14636,-4.511880661826451,-4.717318595775398,2026-03-24
PayPal USD,PYUSD,1.0,4007682061,28,98976136.0,0.04101,0.01985382670545722,0.05883156059897654,2026-03-24
Zcash,ZEC,230.93,3838408824,29,388268186.0,5.22415,-14.403397368479556,-8.895575011640128,2026-03-24
Sui,SUI,0.951175,3711635683,30,580183968.0,6.02528,-7.496181219806933,1.7008903433406768,2026-03-24
Shiba Inu,SHIB,6.11e-06,3597191200,31,203469192.0,5.9891,0.684032834172646,-2.465126510415217,2026-03-24
Toncoin,TON,1.34,3296429836,32,112766712.0,6.73141,0.364575993230966,2.1954250639552715,2026-03-24
Cronos,CRO,0.075419,3190197470,33,12430138.0,3.10501,-5.478741755909009,-1.6304401339747223,2026-03-24
Bittensor,TAO,313.82,3015137737,34,615139449.0,17.08703,13.181761909700693,76.01438168320342,2026-03-24
MemeCore,M,1.7,2977136871,35,10134596.0,-4.64107,-2.3197440355282595,24.90610939514461,2026-03-24
World Liberty Financial,WLFI,0.105801,2928711466,36,120287124.0,8.954,1.4928394589780654,-11.182757544904774,2026-03-24
Tether Gold,XAUT,4405.68,2487521642,37,1433767229.0,4.98557,-11.376802877265527,-13.556765084955986,2026-03-24
Circle USYC,USYC,1.12,2450977364,38,2159.66,0.00899,-0.05356732258891409,0.3573647104080199,2026-03-24
Polkadot,DOT,1.42,2377291938,39,214699869.0,0.40786,-11.20300470097933,6.031698705416249,2026-03-24
Mantle,MNT,0.708603,2325004006,40,67929488.0,3.27394,-14.413086282871962,12.29685629920418,2026-03-24
Uniswap,UNI,3.58,2268832345,41,235126517.0,3.11093,-11.11818616452856,0.4991922901403838,2026-03-24
PAX Gold,PAXG,4415.7,2238184487,42,1026066390.0,5.00805,-11.701414428751265,-14.012989803963812,2026-03-24
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2063172625,43,0.0,0.0,0.0,0.0,2026-03-24
Pi Network,PI,0.18908,1860452735,44,25397427.0,-1.40391,3.3517638215131007,12.701525162272711,2026-03-24
OKB,OKB,85.39,1793115174,45,28364601.0,2.71538,-9.873473476599939,9.289798244947285,2026-03-24
Global Dollar,USDG,1.0,1775129286,46,39151304.0,0.0268,0.012355873326440732,0.007694121028389555,2026-03-24
Falcon USD,USDF,0.997654,1745682920,47,1515894.0,-0.02672,-0.28146940614332416,0.07850978367166095,2026-03-24
NEAR Protocol,NEAR,1.31,1686640623,48,220222248.0,3.38961,-8.836142744313625,27.18007301623925,2026-03-24
Aave,AAVE,109.88,1668837359,49,361807902.0,3.93802,-8.558464917176847,-7.734972848179981,2026-03-24
Sky,SKY,0.071165,1645885525,50,18073655.0,4.86225,-8.300655843840083,10.035785284361081,2026-03-24
